number;accumulated errors;
7993;0,139997;
7999;0,140018;
8014;0,13988;
8020;0,1399;
8023;0,139973;
8035;0,139888;
8038;0,13996;
8044;0,13998;
8045;0,140087;
8047;0,140176;
8048;0,140283;
8054;0,140303;
8057;0,140375;
8063;0,140394;
8067;0,140449;
8078;0,140381;
8079;0,140488;
8081;0,140577;
8084;0,140648;
8088;0,140702;
8092;0,140756;
8097;0,140793;
8098;0,140899;
8105;0,140901;
8106;0,141007;
8111;0,141043;
8127;0,140888;
8132;0,140925;
8133;0,14103;
8134;0,141136;
8139;0,141172;
8142;0,141243;
8148;0,141262;
8149;0,141367;
8154;0,141403;
8163;0,14137;
8164;0,141475;
8165;0,14158;
8167;0,141668;
8169;0,141755;
8171;0,141843;
8437;0,13749;
8462;0,137202;
8661;0,134165;
8662;0,134265;
8706;0,133701;
8713;0,133708;
8731;0,133547;
8755;0,133295;
8759;0,133349;
8806;0,13275;
8815;0,132728;
8852;0,132286;
8857;0,132325;
8914;0,131591;
8927;0,131511;
8955;0,131212;
8979;0,130972;
8990;0,130923;
9021;0,130584;
9024;0,130652;
9072;0,130071;
9093;0,12988;
9121;0,129591;
9153;0,129247;
9173;0,129074;
9175;0,129155;
9182;0,129166;
9183;0,129261;
9331;0,127318;
9346;0,12722;
9353;0,127232;
9364;0,127189;
9368;0,127242;
9376;0,12724;
9380;0,127292;
9388;0,12729;
9393;0,127329;
9414;0,127151;
9416;0,12723;
9417;0,127323;
9419;0,127402;
9420;0,127495;
9475;0,12686;
9483;0,126859;
9492;0,126844;
9514;0,126655;
9518;0,126707;
9519;0,126799;
9524;0,126837;
9525;0,126929;
9529;0,126981;
9535;0,127006;
9550;0,126911;
9565;0,126817;
9586;0,126643;
9593;0,126655;
9609;0,126548;
9628;0,126402;
9635;0,126414;
9644;0,1264;
9654;0,126372;
9676;0,126189;
9702;0,125953;
9703;0,126043;
9705;0,126121;
9721;0,126016;
9766;0,125538;
9772;0,125563;
9782;0,125537;
9787;0,125575;
9802;0,125485;
9819;0,125369;
9824;0,125407;
9836;0,125356;
9864;0,125101;
9876;0,125051;
9877;0,125139;
9894;0,125025;
9901;0,125038;
9907;0,125063;
9911;0,125114;
9917;0,125139;
9922;0,125176;
9925;0,125239;
9940;0,125151;
9954;0,125075;
9955;0,125163;
9981;0,124937;
10003;0,124763;
10012;0,12475;
10013;0,124838;
10019;0,124863;
10020;0,12495;
10034;0,124875;
10035;0,124963;
10041;0,124988;
10042;0,125075;
10058;0,124975;
10075;0,124864;
10103;0,124616;
10110;0,124629;
10117;0,124642;
10123;0,124667;
10124;0,124753;
10131;0,124766;
10132;0,124852;
10140;0,124852;
10154;0,124778;
10158;0,124828;
10173;0,124742;
10176;0,124803;
10178;0,124877;
10181;0,124939;
10197;0,124841;
10207;0,124816;
10219;0,124768;
10225;0,124792;
10257;0,1245;
10267;0,124476;
10272;0,124513;
10282;0,124489;
10285;0,12455;
10287;0,124623;
10307;0,124479;
10309;0,124551;
10311;0,124624;
10314;0,124685;
10340;0,124468;
10344;0,124517;
10348;0,124565;
10352;0,124614;
10369;0,124506;
10381;0,124458;
10389;0,124459;
10392;0,124519;
10401;0,124507;
10424;0,124328;
10462;0,123972;
10465;0,124032;
10473;0,124033;
10479;0,124058;
10496;0,123952;
10502;0,123976;
10536;0,123671;
10537;0,123754;
10543;0,123779;
10547;0,123827;
10560;0,123769;
10569;0,123758;
10574;0,123794;
10576;0,123865;
10578;0,123936;
10586;0,123937;
10603;0,123833;
10624;0,123682;
10627;0,123741;
10651;0,123556;
10657;0,123581;
10662;0,123617;
10665;0,123676;
10668;0,123735;
10675;0,123747;
10676;0,123829;
10682;0,123853;
10689;0,123866;
10707;0,123751;
10722;0,123671;
10735;0,123614;
10742;0,123627;
10743;0,123708;
10754;0,123675;
10799;0,123252;
10808;0,123242;
10821;0,123186;
10828;0,123199;
10830;0,123269;
10842;0,123224;
10844;0,123294;
10854;0,123273;
10866;0,123228;
10867;0,123309;
10892;0,123118;
10917;0,122928;
10919;0,122997;
10941;0,122841;
10945;0,122887;
10951;0,122911;
10960;0,122901;
10961;0,122981;
10967;0,123005;
10969;0,123074;
10975;0,123098;
10985;0,123077;
10991;0,123101;
10993;0,123169;
10996;0,123227;
10998;0,123295;
11037;0,12295;
11046;0,12294;
11053;0,122953;
11056;0,12301;
11060;0,123056;
11067;0,123069;
11068;0,123148;
11074;0,123171;
11106;0,122907;
11109;0,122963;
11117;0,122965;
11118;0,123044;
11135;0,122946;
11140;0,12298;
11160;0,122849;
11174;0,122785;
11180;0,122809;
11186;0,122832;
11190;0,122878;
11221;0,122627;
11237;0,122542;
11252;0,122467;
11265;0,122415;
11280;0,12234;
11282;0,122407;
11295;0,122355;
